title,roaster,origin,score,price,review_date,aroma,acidity,body,flavor,aftertaste,full_review,url
Kenya Embu,Lin Jen-Wei's Black Jar Coffee,"Embu County, Kenya",95,NT $1200/227 grams,March 2025,9,9,9,9,9,"Blind Assessment: Very sweet, deeply savory. Ripe tomato, narcissus, cedar, red currant, almond butter in aroma and cup. Bright, juicy acidity; plush, syrupy-smooth mouthfeel. Resonant, flavor-saturated finish. Notes: Produced by smallholding farmers, from trees of the SL28 and SL34 varieties of Arabica, and processed by the washed method (fruit skin and pulp removed before drying). Lin Jen-Wei’s Black Jar Coffee, a Taiwan-based nano-roaster and café, is named for both the Taiwanese slang phrase “black soy sauce in black jar,” indicating something is difficult to see through, and the literal black jar in which this company stores coffee to protect it from UV light. Roasted by Lin Jen-Wei, the daughter of the owner, who has been roasting for five years (since she was 13!). For more information, visit Black Jar's Facebook page. Bottom Line: A richly sweet, resolutely umami Kenya with a complex sweet-savory structure and spice-toned florals. Explore Similar Coffees: Click here for more reviews from Lin Jen-Wei's Black Jar Coffee",https://www.coffeereview.com/review/kenya-embu/
Colombia Sebastian Ramirez Washed Pink Bourbon,Heady Cup,"Quindio Department, Colombia",97,$30.00/12 ounces,March 2025,9,10,9,10,9,"Blind Assessment: High-toned, lushly floral. Red currant, cocoa nib, wisteria, myrrh, pomelo in aroma and cup. Sparkling, balanced, very juicy acidity; taut, satiny mouthfeel. Long, harmonious, integrated and flavor-saturated finish. Notes: Produced by Sebastian Ramirez, entirely of the Pink Bourbon variety of Arabica, and processed by the washed method (fruit skin and pulp removed before drying). Heady Cup is an Illinois-based specialty roaster with a focus on sustainability and sourcing traceable green coffees. Visit www.headycup.com for more information. Bottom Line: An exquisitely composed washed Colombia Pink Bourbon that’s as complex as it is satisfying, with nuances of flavor and aroma at every turn, and especially vibrant, compelling acidity. Explore Similar Coffees: Click here for more reviews from Heady Cup",https://www.coffeereview.com/review/colombia-sebastian-ramirez-washed-pink-bourbon-2/
Costa Rica La Candelilla Geisha,Red Rooster Coffee Roaster,"Tarrazu, Costa Rica",94,$35.00/12 ounces,February 2025,9,9,9,9,8,"Blind Assessment: Gently fruit-toned, sweetly herbaceous. Pineapple, cocoa nib, lemon verbena, narcissus, honey in aroma and cup. Bright, balanced acidity; crisp, satiny mouthfeel. Finish leads with notes of lemon verbena and narcissus. Notes: Produced by the Sanchez Family of La Candelilla Estate, entirely of the Gesha variety of Arabica, and processed by the natural method (dried in the whole fruit). Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious, high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information. Bottom Line: This Costa Rica natural displays notes of tropical fruit, crisp cacao, and sweet herbs alongside a throughline of spice-toned florals. Explore Similar Coffees: Click here for more reviews from Red Rooster Coffee Roaster",https://www.coffeereview.com/review/costa-rica-la-candelilla-geisha/
LATEST REVIEWS,Starbucks Coffee,N/A,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"We have published thousands of coffee reviews and espresso reviews since 1997. The reviews below appear in reverse chronological order by review date. Older reviews may no longer accurately reflect current versions of the same coffee. To search for a specific roaster, origin or coffee use the Advanced Search Function. Show all reviews Show North American roaster reviews only",https://www.coffeereview.com/review/page/3/
Kenya Kirinyaga,Red Rooster Coffee Roaster,"Kirinyaga District, south-central Kenya",95,$25.00/12 ounces,February 2025,9,9,9,9,9,"Blind Assessment: Rich-toned, deeply sweet-savory. Red currant, ripe tomato, dark chocolate, magnolia, tangerine in aroma and cup. Juicy, high-toned acidity; plush, syrupy-smooth mouthfeel. Resonant, harmonious, long, flavor-saturated finish. Notes: Produced by smallholding farmers, from trees of the SL28, SL34, Ruiru 11 and Batian varieties of Arabica, and processed by the washed method at the Kii Factory. Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious, high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information. Bottom Line: A compelling classic Kenya profile that hits all the senses with rich sweetness, juicy tartness, deep savoriness, and a bit of umami, too. Explore Similar Coffees: Click here for more reviews from Red Rooster Coffee Roaster",https://www.coffeereview.com/review/kenya-kirinyaga-4/
Ecuador La Papaya Geisha Natural,Utopian Coffee,"Saraguro, Loja, Ecuador",96,$38.00/8 ounces,March 2025,9,9,9,10,9,"Blind Assessment: Richly floral-toned, sweetly citrusy. Wisteria, magrut lime leaf, cocoa butter, pink grapefruit, graphite in aroma and cup. Juicy-bright, balanced acidity; plush, syrupy mouthfeel. Long, harmonious, integrated, satisfying finish. Notes: Produced by Juan Peña of Finca La Papaya, entirely of the Geisha variety of Arabica, and processed by the natural method (sun-dried in the whole fruit). Utopian Coffee is a specialty roaster based in Fort Wayne, Indiana. Visit www.utopiancoffee.com for more information. Bottom Line: A lush Ecuador Geisha natural characterized by exceptional floral sweetness, complex citrus notes, and inviting balance throughout the profile. Explore Similar Coffees: Click here for more reviews from Utopian Coffee",https://www.coffeereview.com/review/ecuador-la-papaya-geisha-natural/
Jaguar Espresso Blend,Equator Coffees,Peru; Ethiopia; Indonesia,92,$19.00/12 ounces,March 2025,9,N/A,8,9,7,"Blind Assessment: Evaluated as espresso. Briskly sweet-tart, crisply chocolaty. Date, roasted almond, baking chocolate, pink grapefruit, fresh-cut oak in aroma and small cup. Lightly satiny mouthfeel; tart, wood-framed finish with sweet citrus undertones. In three parts milk, balanced and richly bittersweet, with nice baking chocolate and almond notes in the foreground. Notes: A blend of coffees from Peru, Ethiopia and Indonesia, roasted for espresso applications. Certified USDA Organic and Fair Trade. Founded in 1995 by Brooke McDonnell and Helen Russell, Equator Coffees operates retail stores in the San Francisco Bay Area and Southern California and provides coffee to hundreds of wholesale accounts. Visit www.equatorcoffees.com or call 800-809-7687 for more information. Bottom Line: A solid medium-dark espresso blend that is developed but not roast-muted, with sweet notes of date and baking chocolate supported by rich nut tones throughout the profile. Explore Similar Coffees: Click here for more reviews from Equator Coffees",https://www.coffeereview.com/review/jaguar-espresso-blend/
LATEST REVIEWS,Backroads Coffee and Tea,N/A,84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"We have published thousands of coffee reviews and espresso reviews since 1997. The reviews below appear in reverse chronological order by review date. Older reviews may no longer accurately reflect current versions of the same coffee. To search for a specific roaster, origin or coffee use the Advanced Search Function. Show all reviews Show North American roaster reviews only",https://www.coffeereview.com/review/page/415/
Kona Tropical Punch Washed,Paradise Roasters,"Kona growing region, Hawai’i Island, Hawai'i",95,$50.00/4 ounces,February 2025,9,9,9,9,9,"Blind Assessment: Tropical, richly aromatic, sweetly tart. Guava, pineapple, passionfruit, cocoa nib, Thai basil in aroma and cup. Balanced, juicy-bright acidity; very viscous, silky mouthfeel. Resonant, satisfying, especially long finish. Notes: Produced by smallholding farmers, from trees of the Typica, Geisha and SL34 varieties of Arabica, and processed by the washed method using species of lactic acid-producing yeast and bacteria during the fermentation step. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit  www.paradiseroasters.com or call 808-498-4048 for more information. Bottom Line: As its name implies, this lactic-washed Kona is all tropical, all the time. The cup takes you straight to paradise — or is that Paradise with a capital P? Explore Similar Coffees: Click here for more reviews from Paradise Roasters",https://www.coffeereview.com/review/kona-tropical-punch-washed-2/
100% Arabica Nespresso-Compatible Capsules,Caffe Bomrad,Not disclosed,88,$9.99/10 capsules,March 2025,8,N/A,7,8,7,"Blind Assessment: Evaluated as espresso produced as a “ristretto” 25ml (.85-ounce) shot using a Nespresso capsule espresso brewer with whole milk heated using a conventional steam wand. Briskly sweet, gently wood-framed. Baking chocolate, almond, fir, golden raisin, marjoram in aroma and small cup. Light-bodied mouthfeel; sweet-toned, wood-framed finish with undertones of baking chocolate. In cappuccino format, chocolate notes are amplified, and marjoram resurfaces. Notes: Roasted in Northern Italy and distributed in North America. Marcelo Bomrad-Casanova launched Caffè Bomrad with a commitment to the most authentic tradition of Italian coffee roasting practices. For more information, visit Caffe Bomrad on Amazon.com. Bottom Line: An Italian Nespresso-compatible capsule with crip chocolate, sweet herb, and aromatic wood notes. Explore Similar Coffees: Click here for more reviews from Caffe Bomrad",https://www.coffeereview.com/review/100-arabica-nespresso-compatible-capsules/
