title,price,url,origin,score,compound_sentiment,positive_sentiment,negative_sentiment,neutral_sentiment,textblob_polarity,textblob_subjectivity,top_descriptors,top_adjectives,descriptor_count,all_descriptors
Kenya Embu,NT $1200/227 grams,https://www.coffeereview.com/review/kenya-embu/,"Embu County, Kenya",95,0.8773,0.089,0.03,0.881,0.039166666666666676,0.5256481481481482,"sweet, smooth, bright, light, complex","black, sweet, more, blind, savory",6,"sweet, smooth, bright, light, complex, almond"
Colombia Sebastian Ramirez Washed Pink Bourbon,$30.00/12 ounces,https://www.coffeereview.com/review/colombia-sebastian-ramirez-washed-pink-bourbon-2/,"Quindio Department, Colombia",97,0.8852,0.109,0.021,0.87,0.12843137254901962,0.4857843137254902,"floral, balanced, complex, cocoa","pink, heady, more, blind, high",4,"floral, balanced, complex, cocoa"
Costa Rica La Candelilla Geisha,$35.00/12 ounces,https://www.coffeereview.com/review/costa-rica-la-candelilla-geisha/,"Tarrazu, Costa Rica",94,0.9231,0.131,0.021,0.848,0.16111111111111112,0.4847222222222223,"crisp, sweet, balanced, bright, honey","crisp, natural, red, more, blind",6,"sweet, balanced, bright, crisp, honey, cocoa"
Kenya Kirinyaga,$25.00/12 ounces,https://www.coffeereview.com/review/kenya-kirinyaga-4/,"Kirinyaga District, south-central Kenya",95,0.8402,0.094,0.022,0.884,0.08277777777777778,0.3788888888888889,"rich, sweet, smooth, dark, chocolate","rich, juicy, high, red, more",5,"sweet, smooth, rich, dark, chocolate"
Ecuador La Papaya Geisha Natural,$38.00/8 ounces,https://www.coffeereview.com/review/ecuador-la-papaya-geisha-natural/,"Saraguro, Loja, Ecuador",96,0.9571,0.189,0.023,0.789,0.15260416666666665,0.5432291666666667,"floral, citrus, balanced, bright, complex","natural, utopian, more, blind, pink",6,"citrus, floral, balanced, bright, complex, cocoa"
Jaguar Espresso Blend,$19.00/12 ounces,https://www.coffeereview.com/review/jaguar-espresso-blend/,Peru; Ethiopia; Indonesia,92,0.9489,0.128,0.019,0.854,0.2147058823529412,0.5284313725490195,"sweet, chocolate, almond, citrus, balanced","sweet, more, blind, briskly, roasted",9,"citrus, sweet, balanced, rich, medium, dark, chocolate, nut, almond"
Kona Tropical Punch Washed,$50.00/4 ounces,https://www.coffeereview.com/review/kona-tropical-punch-washed-2/,"Kona growing region, Hawai’i Island, Hawai'i",95,0.9837,0.189,0.016,0.795,0.12692307692307694,0.5955128205128205,"balanced, bright, aromatic, cocoa","tropical, lactic, more, blind, aromatic",4,"balanced, bright, aromatic, cocoa"
100% Arabica Nespresso-Compatible Capsules,$9.99/10 capsules,https://www.coffeereview.com/review/100-arabica-nespresso-compatible-capsules/,Not disclosed,88,0.8555,0.1,0.021,0.879,0.16714285714285715,0.4715873015873016,"chocolate, sweet, light, aromatic, almond","sweet, italian, more, blind, capsule",5,"sweet, light, aromatic, chocolate, almond"
Yemen Al Obrah,$42.00/8 ounces,https://www.coffeereview.com/review/yemen-al-obrah/,"Al Obrah, Hayma Dakhaliya, Sana'a, Yemen",95,0.9666,0.179,0.02,0.801,0.176031746031746,0.4796825396825398,"dark, chocolate, sweet, smooth, balanced","dark, red, utopian, more, blind",8,"sweet, smooth, balanced, bright, rich, dark, aromatic, chocolate"
Granate,$13.50/250 grams,https://www.coffeereview.com/review/granate/,"Llayla District, Satipo Province, Peru",94,0.9628,0.16,0.018,0.822,0.12175925925925928,0.5087962962962964,"hazelnut, sweet, bright, cherry, chocolate","natural, more, blind, sweet, black",6,"sweet, bright, cherry, chocolate, nut, hazelnut"
Colombia Manos Juntas Anaerobic Natural,$18.00/12 ounces,https://www.coffeereview.com/review/colombia-manos-juntas-anaerobic-natural/,"Cauca Department, Colombia",94,0.8834,0.11,0.021,0.868,0.08833333333333333,0.5761111111111111,"berry, smooth, bright, dark, chocolate","natural, more, blind, dark, juicy",6,"berry, smooth, bright, dark, chocolate, clove"
Yemen Ismaili,NT $1200/227 grams,https://www.coffeereview.com/review/yemen-ismaili/,"Bani Ismail District, Sana'a, Yemen",94,0.8641,0.096,0.03,0.874,0.011217948717948713,0.5233974358974359,"fruity, floral, berry, sweet, smooth","black, more, blind, sweet, pink",7,"fruity, floral, berry, sweet, smooth, light, almond"
Guatemala Whiskey Barrel-Aged,$24.00/16 ounces,https://www.coffeereview.com/review/guatemala-whiskey-barrel-aged/,"Antigua Department, Guatemala",87,0.7579,0.08,0.023,0.896,0.08846153846153845,0.4877289377289378,"sweet, crisp, vanilla","sweet, green, more, blind, simple",3,"sweet, crisp, vanilla"
Costa Rica San Diego,$22.00/12 ounces,https://www.coffeereview.com/review/costa-rica-san-diego/,"Tarrazu, Costa Rica",94,0.9517,0.141,0.018,0.84,0.1275,0.541904761904762,"sweet, cocoa, bright, rich, complex","sweet, low, utopian, more, blind",8,"sweet, bright, rich, complex, aromatic, honey, apple, cocoa"
Wilton Benitez Colombia Yellow Bourbon,$22.00/8 ounces,https://www.coffeereview.com/review/wilton-benitez-colombia-yellow-bourbon/,"Piendamó, Cauca, Colombia",96,0.9712,0.123,0.034,0.842,0.1667361111111111,0.49870039682539685,"floral, bright","thermal, yellow, more, blind, floral",2,"floral, bright"
Guatemala Acatenango Geisha,NT $1200/227 grams,https://www.coffeereview.com/review/guatemala-acatenango-geisha-3/,"Acatenango growing region, Guatemala",94,0.9335,0.103,0.028,0.869,0.04150000000000001,0.5376666666666667,"floral, vanilla, cocoa, sweet, balanced","black, floral, more, blind, tart",9,"floral, sweet, balanced, rich, light, complex, crisp, vanilla, cocoa"
Colombia Chachagüí Mild Roast,$21.00/12 ounces,https://www.coffeereview.com/review/colombia-chachagui-mild-roast-2/,"Chachagüí, Nariño Department, Colombia",93,0.4767,0.059,0.024,0.917,0.06111111111111111,0.43222222222222223,"sweet, chocolate, floral, spicy, crisp","sweet, pink, natural, rusty, more",5,"floral, sweet, spicy, crisp, chocolate"
Sochiapam Mexico,$21.00/12 ounces,https://www.coffeereview.com/review/sochiapam-mexico/,"Sochiapam, Oaxaca, Mexico",93,0.967,0.17,0.018,0.812,0.3596153846153846,0.5620879120879121,"floral, bright, chocolate, almond, smooth","floral, bright, more, blind, sugarcane",6,"floral, smooth, balanced, bright, chocolate, almond"
Murundo People’s Farm Rwanda,$20.00/12 ounces,https://www.coffeereview.com/review/murundo-peoples-farm-rwanda-2/,"Nyamasheke District, Western Province, Rwanda",93,0.9646,0.155,0.018,0.827,0.2783333333333333,0.5565873015873015,"caramel, sweet, balanced, aromatic, hazelnut","sweet, more, blind, savory, pomegranate",5,"caramel, sweet, balanced, aromatic, hazelnut"
Ethiopia Bench-Maji Lucy Geisha Anaerobic Natural,NT $300/100 grams,https://www.coffeereview.com/review/ethiopia-bench-maji-lucy-geisha-anaerobic-natural/,"Bench-Maji Zone, southern Ethiopia",94,0.9093,0.081,0.02,0.899,0.18293650793650795,0.5444444444444445,"floral, crisp, sweet, smooth, rich","crisp, floral, anaerobic, more, blind",7,"floral, sweet, smooth, rich, crisp, aromatic, cocoa"
Sumatra,$9.99/12 ounces,https://www.coffeereview.com/review/sumatra-16/,"Sumatra, Indonesia",82,-0.4404,0.064,0.103,0.833,0.058333333333333334,0.4962962962962963,"bitter, earthy, sweet, woody, dark","earthy, bitter, sumatra, more, blind",6,"sweet, bitter, earthy, woody, dark, smoky"
Sumatra,$19.95/16 ounces,https://www.coffeereview.com/review/sumatra-17/,"Sumatra, Indonesia",82,-0.4404,0.064,0.103,0.833,0.058333333333333334,0.4962962962962963,"bitter, earthy, sweet, woody, dark","earthy, bitter, sumatra, more, blind",6,"sweet, bitter, earthy, woody, dark, smoky"
Ethiopia,$14.99/12 ounces,https://www.coffeereview.com/review/ethiopia-5/,Ethiopia,90,0.8885,0.152,0.043,0.805,0.10104166666666665,0.43020833333333347,"cocoa, sweet, balanced, complex","whole, more, blind, sweet, tart",4,"sweet, balanced, complex, cocoa"
Colombia San Roque,$21.00/12 ounces,https://www.coffeereview.com/review/colombia-san-roque/,"Huila Department, Colombia",89,0.8842,0.117,0.023,0.86,0.12986111111111112,0.5097222222222222,"cocoa, sweet, crisp, nut","sweet, crisp, more, blind, astringent",4,"sweet, crisp, cocoa, nut"
Ethiopia Agaro Duromina,$22.00/12 ounces,https://www.coffeereview.com/review/ethiopia-agaro-duromina-2/,"Agaro Duromina, Jimma Zone, Oromia State, Ethiopia",94,0.8271,0.096,0.023,0.882,0.14696969696969697,0.4575757575757576,"sweet, cocoa, almond, floral, smooth","sweet, juicy, more, blind, floral",7,"floral, sweet, smooth, bright, crisp, cocoa, almond"
Rwanda Murundo People’s Farm,$23.00/12 ounces,https://www.coffeereview.com/review/rwanda-murundo-peoples-farm/,"Ghiombo, Nyamasheke District, Western Province, Rwanda",92,0.9666,0.163,0.017,0.819,0.14184491978609626,0.5184046345811052,"sweet, cocoa, almond, citrus, balanced","sweet, more, blind, bright, fresh",11,"citrus, sweet, balanced, bright, rich, light, complex, crisp, aromatic, cocoa, almond"
